A0000000,554.438.135-60,Julio,65.92,18,Odontologia,Jesuânia
A0000001,325.737.558-19,Carmelo,90.0,17,Sociologia,Ferraz de Vasconcelos
A0000002,850.121.796-41,Fausto,41.07,28,Nutrição,São Carlos
A0000003,616.170.174-00,Cleonice,27.1,27,Meteorologia,Boituva
A0000004,844.849.218-80,Ari,58.58,29,Engenharia Civil,Grajaú
A0000005,676.168.679-28,Alejandro,26.83,26,Química,Taboão da Serra
A0000006,957.998.119-17,Richard,55.69,17,Engenharia Florestal,Pancas
A0000007,000.127.646-80,Evaldo,83.18,27,Psicologia,Paranaguá
A0000008,170.848.300-49,Scott,48.05,20,Farmácia,Votorantim
A0000009,361.749.110-39,Ignacio,56.5,30,Engenharia de Software,Perus
